broad_cell_types,feature&function,marker,species,tissue_class,tissue_type,cancer_type,cell_type,cell_name
T cell,,CD3G,Human,Thymus,Fetal thymus,Normal,Normal cell,T cell
T cell,,LCK,Human,Thymus,Fetal thymus,Normal,Normal cell,T cell
T cell,,CD5,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD3,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD8,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,THY1,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD4,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD3ε,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD1a,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CCR6,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD161,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD26,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,RAG1,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,RAG2,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD7,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,CD8A,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,KLRB1,Human,Thymus,Thymus,Normal,Normal cell,T cell
T cell,,DPP4,Human,Thymus,Thymus,Normal,Normal cell,T cell
T helper cell,,Cd4,Human,Thymus,Thymus,Normal,Normal cell,T helper cell
T helper cell,T follicular helper,Cxcr5,Human,Thymus,Thymus,Normal,Normal cell,T helper cell
Thymic epithelial cell,,CXCL12,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell (TEC)
Thymic epithelial cell,,KRT5,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell (TEC)
Thymic epithelial cell,,PSMB11,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell (TEC)
Thymic epithelial cell,,CCL25,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell (TEC)
Thymic epithelial cell,,KRT8,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell (TEC)
Thymic epithelial cell,,DLL4,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell (TEC)
Thymic epithelial cell,,PRSS16,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell (TEC)
Thymic epithelial cell,,FOXN1,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell (TEC)
Thymic epithelial cell,,ck5,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell
Thymic epithelial cell,,CD49f,Human,Thymus,Thymus,Normal,Normal cell,Thymic epithelial cell
